filename,sentiment,emotion,text,whisper_transcription
audio1.m4a,positive,approval,That was a fantastic presentation. I'm really impressed. , That was a fantastic presentation. I'm really impressed.
audio2.m4a,positive,annoyance,I cannot believe this is happening again. It is so frustrating., I cannot believe this is happening again. It is so frustrating.
audio3.m4a,positive,disapproval,I really don't think this is the right decision., I really don't think this is the right decision.
audio4.m4a,positive,gratitude,Thank you so much for your help. I truly appreciate it., Thank you so much for your help. I truly appreciate it.
audio5.m4a,positive,curiosity,I wonder how that works. I'd love to know more about it., I wonder how that works. I'd love to know more about it.
audio7.m4a,positive,realization,"Oh, I get it now. That was why everything wasn't adding up."," Oh, I get it now. That was why everything wasn't out of the up."
audio8.m4a,positive,optimism,I'm sure things will get better soon. We've got this., I'm sure things will get better soon. We've got this.
audio9.m4a,positive,optimism,"It's been a rocky start, but I have a strong feeling that things are about to take off."," It's been a rocky start, but I have a strong feeling that things are about to take off."
audio10.m4a,positive,admiration,"After watching the performance, I couldn't help but admire the level of skill and dedication."," After watching the performance, I couldn't help but admire the level of skill and dedication."
audio11.m4a,positive,admiration,I’m really impressed by the amount of work that went into this, I'm really impressed by the amount of work that went into this.
audio12.m4a,positive,admiration,That was truly amazing., That was truly amazing.
audio13.m4a,positive,admiration,Incredible!, Incredible.
audio14.m4a,positive,admiration,I had no idea the product would be this good. I'm honestly amazed at how well it works., I had no idea the product would be this good. I'm honestly amazed at how it works.
audio15.m4a,positive,admiration,The way the show took such an enormous twist made me laugh so loud. I hadn't expect this to be this entertaining, The way the show took such an enormous twist made me laugh so loud. I hadn't expect this to be this entertaining.
audio16.m4a,positive,amusement,The movie was hilarious from start to finish. I laughed more than I expected.," The movie was hilarious from start to finish, I laughed more than I expected."
audio17.m4a,positive,amusement,I couldn't stop laughing, I couldn't stop laughing.
audio18.m4a,positive,amusement,It was too funny., It was too funny.
audio19.m4a,positive,amusement,The comedian's timing was perfect and every punchline hit just right., The comedian's timing was perfect and every punchline it's just right.
audio20.m4a,negative,amusement,I couldn't believe how the situation unfolded. The complete lack of respect was infuriating and it took everything I had to stay calm., I couldn't believe how the situation unfolded. The complete lack of respect was infuriating and it took everything I had to stay calm.
audio21.m4a,negative,anger,It was hard to keep my composure when I saw how they handled that—completely unacceptable," It was hard to keep my composure when I saw how they handled that, completely unacceptable."
audio22.m4a,negative,anger,So frustrating!, So frustrating.
audio23.m4a,negative,anger,I cannot believe this is happening!, I cannot believe this is happening.
audio24.m4a,negative,anger,The way they ignored the issue only made it worse. I was fuming the whole time., The way they ignored the issue only made it worse. I was fuming the whole time.
audio25.m4a,negative,anger,I was trying to stay patient but the constant interruptions are really starting to get on my nerves. It's hard to focus at all.," I was tried to stay patient, but the constant interruptions are really starting to get on my nerves. It's hard to focus at all."
audio26.m4a,negative,annoyance,The repeated delays are becoming unbearable. How many times do we have to go over the same thing?, The repeated delays are becoming unbearable. How many times do we have to go over the same thing?
audio27.m4a,negative,annoyance,Unbelievable., Unbelievable.
audio28.m4a,negative,annoyance,This was super annoying., This was super annoying.
audio29.m4a,negative,annoyance,It's frustrating when things don't go as planned and it's been one setback after another today., It's frustrating when things don't go as planned and it's been one setback after another today.
audio30.m4a,positive,approval,"I didn’t expect this to work out, but I’m glad to see it’s exceeded expectations."," I didn't expect this to work out, but I'm glad to see its exceeded expectations."
audio31.m4a,positive,approval,I’m fully behind this—great job., and fully behind this great job
audio32.m4a,positive,approval,"After carefully considering everything, I can confidently say I approve of the way this project is shaping up—it’s exactly what we needed."," After carefully considering everything, I can comfortably say I approve the way this project is shaping up. It's exactly what we needed."
audio33.m4a,positive,approval,This looks great!, This looks great.
audio34.m4a,positive,approval,"Everything checks out, and I’m fully on board with how things are processing.", Everything checks out and I'm fully on board with how things are processing.
audio35.m4a,positive,caring,"It means a lot to me that you took the time to listen and offer support, especially when I wasn’t sure what I needed."," It means a lot to me that you took the time to listen and offer support, especially when I wasn't sure what I needed."
audio36.m4a,positive,caring,That was so thoughtful of you., That was so thoughtful of you.
audio37.m4a,positive,caring,Thank you!, Thank you.
audio38.m4a,positive,caring,"The small gestures often show the most care, and I really appreciate you always looking out for me.", The small gestures often show the most care and I really appreciate you looking out for me.
audio39.m4a,negative,confusion,"I thought I had everything under control, but as I got deeper into the situation, it became increasingly clear that I was completely out of my depth"," I thought I had everything under control, but as I got deeper into the situation, it became increasingly clear that I was completely out of my depth."
audio40.m4a,negative,confusion,I’m not sure what’s happening here., I'm not sure what's happening here.
audio41.m4a,negative,confusion,Not entirely sure why Whisper doesn't work on Google Collab., Not entirely sure why Whisper doesn't work on Google Collab.
audio42.m4a,negative,confusion,"The instructions were so unclear, I couldn’t tell if I was doing the right thing.", The instructions were so unclear I couldn't tell if I was doing the right thing.
audio43.m4a,positive,curiosity,I couldn’t help but wonder how things would play out if we took a different approach—I’m really curious to see where this path leads., I couldn't help wonder how things would play out if we took a different approach. I'm really curious to see where this path leads.
audio44.m4a,positive,curiosity,I need to know more about this!, I need to know more about this.
audio45.m4a,positive,curiosity,I’m dying to know how they pulled this off, I'm dying to know how they pulled this off.
audio46.m4a,positive,curiosity,"There’s something that doesn’t add up, and I’m curious to find out the truth.", There's something that doesn't add up and I'm curious to find out the truth.
audio47.m4a,positive,desire,I've been thinking about trying the new restaurant for weeks. After hearing such great things I can't wait to see if it lives up to the hype, I've been thinking about trying the new restaurant for weeks. After hearing such great things I can wait to see if it lips up to the hype.
audio48.m4a,positive,desire,"I’ve been craving a quiet weekend getaway for so long, and now that it’s finally happening, I can’t wait to escape.", I've been craving quite we can get away for so long and other it's finally happening I can wait to escape.
audio49.m4a,positive,desire,I really want to see that movie., I really want to see that movie.
audio50.m4a,negative,disappointment,That movie was such a letdown., That movie was such a light down.
audio51.m4a,negative,disappointment,I’m bummed., I'm bummed.
audio52.m4a,negative,disappointment,"I was really looking forward to this event, but when I arrived and saw how poorly organized it was, I couldn’t help but feel let down."," I was really looking forward to this event, but when I arrived and I saw how poorly organized it was, I couldn't help but feel let down."
audio53.m4a,negative,disappointment,"I expected better from this product, but it didn’t quite meet my expectations, and I’m left feeling disappointed."," I expected better from this product, but it didn't quite meet my expectations, and I'm glad to feeling disappointed."
audio54.m4a,negative,disapproval,"That movie was terrible, just awful"," That movie was terrible, just awful."
audio55.m4a,negative,disapproval,Not ideal., Not ideal.
audio56.m4a,negative,disapproval,I don’t think this is the right choice., I don't think this is the right choice.
audio57.m4a,negative,disapproval,I wasn’t impressed with how this was handled—it doesn’t align with the standards I expect., I wasn't impressed with how this was handled. It doesn't lie with the standards I expect.
audio58.m4a,negative,disgust,The presentation was so poorly organized that it was hard to focus on anything—nothing about it felt professional or well thought out., The presentation was so poorly organized that it was hard to focus on anything. Nothing about it felt professional or well thought out.
audio59.m4a,negative,disgust,Honestly didn’t expect it to be this bad—the whole thing left a bad taste in my mouth," Honestly, I didn't expect this to be so bad. The whole thing left a bad taste in my mouth."
audio60.m4a,negative,disgust,That was hard to watch., That was hard to watch.
audio61.m4a,negative,disgust,So off-putting., So of putting.
audio62.m4a,negative,disgust,There’s no way I can get past how poorly this turned out., There was no way I can get past how poorly this turned out.
audio63.m4a,negative,embarrassment,"When I tripped in front of everyone, my face turned red. Sometimes, all you can do is laugh it off.", When I trip in front of everyone my face turned red. Sometimes all you can do is life head off.
audio64.m4a,negative,embarrassment,That was so awkward., That was so awkward.
audio65.m4a,negative,embarrassment,"It’s hard to recover from that kind of slip-up, but I did my best to move on quickly."," It's hard to recover from that kind of slip up, but I did my best to move on quickly."
audio66.m4a,negative,embarrassment,"I tried to keep my composure, but when I was called out, I couldn’t help but feel mortified."," I tried to keep my composure, but when I was called out I couldn't help a filled mortified."
audio67.m4a,positive,excitement,"When I walked into the concert hall and felt the energy in the crowd, I knew this was going to be an unforgettable experience"," When I walked into the concert and I felt the energy in the crowd, I knew this is going to be an unforgettable experience."
audio68.m4a,positive,excitement,"The game was packed with surprises, and the adrenaline kept me glued to the screen for hours", The game was packed with surprises and the adrenaline kept me glued to the screen for hours.
audio69.m4a,positive,excitement,"The new software update was smooth and fast, I’m really pumped about this improvements", The new software update would smooth and fast. I'm really pumped about this improvements.
audio70.m4a,positive,excitement,"We just wrapped up an incredible trip, and every moment was filled with so much energy and excitement", We just wrapped up an incredible trip and every moment was filled with so much energy and excitement.
audio71.m4a,positive,excitement,"After hearing about this release for weeks, I finally saw it live"," After hearing about this release for weeks, I finally saw it live."
audio72.m4a,negative,fear,"The suspense was unbearable as we waited for the results to come in. With each passing moment, I couldn’t shake the sense of dread building inside me.", The suspense was unbearable as we waited for the results to come in. With each passing moment I couldn't shake the sense of threat building inside me.
audio73.m4a,negative,fear,It wasn’t just the unknown that scared me; it was the feeling that something could go horribly wrong at any moment.," It wasn't just the unknown that scared me, it was the feeling that something could go or will be wrong at any moment."
audio74.m4a,negative,fear,I’m not sure I can handle this, I'm not sure I can handle this.
audio75.m4a,negative,fear,I’m terrified., I'm terrified.
